Datum,1m
2021-03-26,-9.09702420833334
2021-03-27,-8.91350641666667
2021-03-28,-8.59210825
2021-03-29,-8.461671375
2021-03-30,-8.14626966666667
2021-03-31,-7.777168875
2021-04-01,-7.42284820833333
2021-04-02,-6.88312120833333
2021-04-03,-6.57214879166666
2021-04-04,-6.99104308333334
2021-04-05,-7.41742433333333
2021-04-06,-7.57790275
2021-04-07,-8.28058020833333
2021-04-08,-8.99971529166667
2021-04-09,-9.34211179166667
2021-04-10,-9.105807625
2021-04-11,-8.588072125
2021-04-12,-8.04413066666667
2021-04-13,-7.76394295833333
2021-04-14,-7.69010204166667
2021-04-15,-7.65467216666667
2021-04-16,-7.687135
2021-04-17,-7.799133125
2021-04-18,-7.85712329166667
2021-04-19,-7.79467983333333
2021-04-20,-7.66140704166667
2021-04-21,-7.5232095
2021-04-22,-7.39428870833333
2021-04-23,-7.23568383333333
2021-04-24,-7.28281141666667
2021-04-25,-7.2
2021-04-26,-7.0
2021-04-27,-6.7
2021-04-28,-6.6
2021-04-29,-6.3
2021-04-30,-5.9
2021-05-01,-5.5
2021-05-02,-5.1
2021-05-03,-5.1
2021-05-04,-5.3
2021-05-05,-5.4
2021-05-06,-5.5
2021-05-07,-5.5
2021-05-08,-5.6
2021-05-09,-5.7
2021-05-10,-5.4
2021-05-11,-4.8
2021-05-12,-4.2
2021-05-13,-4.0
2021-05-14,-4.0
2021-05-15,-4.1
2021-05-16,-4.0
2021-05-17,-4.0
2021-05-18,-4.1
2021-05-19,-4.2
2021-05-20,-4.37555970833333
2021-05-21,-4.43956404166667
2021-05-22,-4.362644
2021-05-23,-4.24709833333333
2021-05-24,-4.242374
2021-05-25,-4.12557429166667
2021-05-26,-4.226792875
2021-05-27,-4.17293158333333
2021-05-28,-4.09710475
2021-05-29,-4.00903429166667
2021-05-30,-3.86444916666667
2021-05-31,-3.95515979166667
2021-06-01,-4.12727295833333
2021-06-02,-3.98422533333333
2021-06-03,-3.19690816666667
2021-06-04,-2.38579725
2021-06-05,-1.86358654166667
2021-06-06,-1.42398445833333
2021-06-07,-1.249966875
2021-06-08,-1.02876845833333
2021-06-09,-0.756182083333333
2021-06-10,-0.553989041666667
2021-06-11,-0.411126625
2021-06-12,-0.176597083333333
2021-06-13,0.2803535
2021-06-14,0.183010625
2021-06-15,0.3453455
2021-06-16,0.600137708333333
2021-06-17,1.31688733333333
2021-06-18,2.01201691666667
2021-06-19,2.957372
2021-06-20,3.72906683333333
2021-06-21,3.74455183333333
2021-06-22,3.74556608333333
2021-06-23,3.54773625
2021-06-24,3.10376691666667
2021-06-25,1.91181929166667
2021-06-26,1.640389375
2021-06-27,1.92234970833333
2021-06-28,2.66178820833333
2021-06-29,3.16494908333333
2021-06-30,2.009429125
2021-07-01,0.977377541666666
2021-07-02,0.5783835
2021-07-03,0.650625708333333
2021-07-04,1.22188595833333
2021-07-05,1.45482033333333
2021-07-06,2.07289879166667
2021-07-07,3.03505433333333
2021-07-08,3.54659966666667
2021-07-09,1.9810615
2021-07-10,1.852690125
2021-07-11,1.992661125
2021-07-12,2.197122125
2021-07-13,2.92796025
2021-07-14,2.569694125
2021-07-15,1.789678875
2021-07-16,1.71664970833333
2021-07-17,2.27287875
2021-07-18,3.17055420833333
2021-07-19,2.93765195833333
2021-07-20,2.983614875
2021-07-21,2.831412625
2021-07-22,2.94335129166667
2021-07-23,3.05350208333333
2021-07-24,3.90013008333333
2021-07-25,4.21520570833333
2021-07-26,3.98225395833333
2021-07-27,3.8366095
2021-07-28,4.02494579166667
2021-07-29,3.43802979166667
2021-07-30,3.68347629166667
2021-07-31,4.128609
2021-08-01,3.66330083333333
2021-08-02,2.26170545833333
2021-08-03,2.01619383333333
2021-08-04,2.01926579166667
2021-08-05,1.70250458333333
2021-08-06,1.7680755
2021-08-07,2.37013841666667
2021-08-08,2.3908365
2021-08-09,2.4275525
2021-08-10,2.4670445
2021-08-11,3.06802816666667
2021-08-12,3.50408708333333
2021-08-13,3.50408708333333
2021-08-14,3.50408708333333
2021-08-15,3.50408708333333
2021-08-16,3.50408708333333
2021-08-17,3.50408708333333
2021-08-18,3.50408708333333
2021-08-19,3.50408708333333
2021-08-20,3.50408708333333
2021-08-21,3.50408708333333
2021-08-22,3.50408708333333
2021-08-23,3.50408708333333
2021-08-24,3.50408708333333
2021-08-25,3.50408708333333
2021-08-26,3.50408708333333
2021-08-27,3.50408708333333
2021-08-28,3.50408708333333
2021-08-29,3.50408708333333
2021-08-30,3.50408708333333
2021-08-31,3.50408708333333
2021-09-01,3.50408708333333
2021-09-02,3.50408708333333
2021-09-03,3.50408708333333
2021-09-04,3.50408708333333
2021-09-05,3.50408708333333
2021-09-06,3.50408708333333
2021-09-07,3.50408708333333
2021-09-08,3.50408708333333
